canonical_name,aliases,manufacturers,unitPrice
amiodarone,"cordarone,pacerone,amiodarone hcl,aratac,amiodarone tablets,cordarone 200mg,amiodarone 200mg","Sanofi (Cordarone), Various",65.00
adenosine,"adenocard,adenoscan,adenosine injection,adenosine 6mg/2ml",Various,450.00
dopamine,"intropin,dopamine hcl,dopamine injection,dopamine 200mg/5ml",Various,185.00
dobutamine,"dobutrex,dobutamine hcl,dobutamine injection,dobutamine 250mg","Eli Lilly (Dobutrex), Various",385.00
noradrenaline,"norepinephrine,levophed,noradrenaline injection,noradrenaline 4mg/4ml",Various,285.00
adrenaline,"epinephrine,epipen,adrenaline injection,anapen,adrenaline 1mg/ml,epinephrine 1:1000",Various (EpiPen by Mylan),285.00
atropine,"atropine sulfate,atropen,atropine injection,atropine 0.6mg/ml",Various,85.00
midazolam,"dormicum,versed,midazolam injection,hypnovel,dormicum 5mg,midazolam 5mg",Roche (Versed/Dormicum),185.00
propofol,"diprivan,propofol injection,fresofol,propoven,diprivan 200mg/20ml","AstraZeneca (Diprivan), Fresenius",850.00
ketamine,"ketalar,ketamine hcl,ketamine injection,ketalar 200mg",Pfizer (Ketalar),385.00
fentanyl,"duragesic,sublimaze,fentanyl patch,fentanyl injection,actiq,fentanyl 25mcg/hr patch",Janssen (Duragesic/Sublimaze),950.00
